Knowledge statement,Subject,Key stage,Year group,Broad topic,Specific topic,Document,page,introduction,examples,glossary,appendix,purpose of study,aims,attainment targets,statutory guidance,non-statutory guidance,digital literacy (AI),financial literacy (AI),media literacy (AI),oracy (AI),climate and sustainability (AI),digital literacy (SL),financial literacy (SL),media literacy (SL),oracy (SL),climate and sustSLnability (SL)
"GCSE design and technology specifications must enable students to work creatively when designing and making and apply technical and practical expertise, in order to: develop the skills to critique and refine their own ideas whilst designing and making",Design and technology,Key stage 4,,,,D&T,4,Y,,,,,Y,,,,,,Y,Y,,,,Y,Y,
"GCSE design and technology specifications must enable students to work creatively when designing and making and apply technical and practical expertise, in order to: communicate their design ideas and decisions using different media and techniques, as appropriate for different audiences at key points in their designing",Design and technology,Key stage 4,,,,D&T,4,Y,,,,,Y,,,,Y,,Y,Y,,Y,,Y,Y,
"GCSE design and technology specifications must enable students to work creatively when designing and making and apply technical and practical expertise, in order to: develop decision making skills, including the planning and organisation of time and resources when managing their own project work",Design and technology,Key stage 4,,,,D&T,4,Y,,,,,Y,,,,,,,,,,,,,
"GCSE design and technology specifications must enable students to work creatively when designing and making and apply technical and practical expertise, in order to: develop a broad knowledge of materials, components and technologies and practical skills to develop high quality, imaginative and functional prototypes",Design and technology,Key stage 4,,,,D&T,4,Y,,,,,Y,,,,,,,,,,,,,
"GCSE design and technology specifications must enable students to work creatively when designing and making and apply technical and practical expertise, in order to: be ambitious and open to explore and take design risks in order to stretch the development of design proposals, avoiding clichéd or stereotypical responses",Design and technology,Key stage 4,,,,D&T,4,Y,,,,,Y,,,,,,,,,,,,,
"GCSE design and technology specifications must enable students to work creatively when designing and making and apply technical and practical expertise, in order to: consider the costs, commercial viability and marketing of products",Design and technology,Key stage 4,,,,D&T,4,Y,,,,,Y,,,,,Y,,,,,Y,,,
"GCSE design and technology specifications must enable students to work creatively when designing and making and apply technical and practical expertise, in order to: demonstrate safe working practices in design and technology",Design and technology,Key stage 4,,,,D&T,4,Y,,,,,Y,,,,,,,,,,,,,
"GCSE design and technology specifications must enable students to work creatively when designing and making and apply technical and practical expertise, in order to: use key design and technology terminology including those related to: designing, innovation and communication; materials and technologies; making, manufacture and production; critiquing, values and ethics",Design and technology,Key stage 4,,,,D&T,4,Y,,,,,Y,,,,,,Y,Y,,,,Y,Y,
"GCSE specifications in design and technology² must require students to demonstrate the necessary knowledge, understanding and skills required to undertake iterative design processes of exploring, creating and evaluating. Specifications must require students to demonstrate the mathematical and scientific knowledge, understanding and skills set out in appendix 1.",Design and technology,Key stage 4,,,,D&T,5,,,,,,,,Y,,,,,,,,,,,
"The knowledge, understanding and skills that all students must develop have been separated into: technical principles",Design and technology,Key stage 4,,,,D&T,5,,,,,,,,Y,,,,,,,,,,,
"The knowledge, understanding and skills that all students must develop have been separated into: designing and making principles",Design and technology,Key stage 4,,,,D&T,5,,,,,,,,Y,,,,,,,,,,,
Specifications must require students to produce at least one final made prototype based on a design brief they develop in response to a contextual challenge set by Awarding Organisations. When completing their project students will apply designing and making principles and their knowledge and understanding of technical principles.,Design and technology,Key stage 4,,,,D&T,5,,,,,,,,Y,,,,,,,,,,,
"Specifications should provide a range of broad and contemporary contextual challenges, which provide a basis from which students can undertake a design, make and evaluate project.",Design and technology,Key stage 4,,,Contextual challenges,D&T,5,,,,,,,,Y,,,,,,,,,,,
"Contextual challenges must: offer a broad range of real-world contexts, representing contemporary issues and concerns",Design and technology,Key stage 4,,,Contextual challenges,D&T,5,,,,,,,,Y,,,,,,,,,,,
"Contextual challenges must: be open-ended, avoiding predetermining the materials or processes to be used to achieve a design solution",Design and technology,Key stage 4,,,Contextual challenges,D&T,5,,,,,,,,Y,,,,,,,,,,,
"Contextual challenges must: focus on needs, wants and values of individuals and groups, leading students to address problems and/or opportunities",Design and technology,Key stage 4,,,Contextual challenges,D&T,5,,,,,,,,Y,,,,,,,,,,,
Contextual challenges must: be accessible and relevant to the full range of design and technology materials and components outlined in section 9,Design and technology,Key stage 4,,,Contextual challenges,D&T,5,,,,,,,,Y,,,,,,,,,,,
"It should be noted that there are no endorsed routes with this qualification. All qualification certificates will be titled GCSE design and technology; i.e. the range of titles that are currently offered, such as electronic products, graphic products, resistant materials, textiles technology and systems and control technology, will be removed.",Design and technology,Key stage 4,,,Footnote,D&T,5,,,,,,,,,Y,,,,,,,,,,
"In order to make effective design choices in relation to which materials, components and systems to utilise, students will need a breadth of technical knowledge and understanding that includes: the impact of new and emerging technologies on industry, enterprise, sustainability, people, culture, society and the environment, production techniques and systems",Design and technology,Key stage 4,,Technical principles,,D&T,5,,,,,,,,Y,,Y,,,,Y,Y,,,,Y
"In order to make effective design choices in relation to which materials, components and systems to utilise, students will need a breadth of technical knowledge and understanding that includes: how the critical evaluation of new and emerging technologies informs design decisions; considering contemporary and potential future scenarios from different perspectives, such as ethics and the environment",Design and technology,Key stage 4,,Technical principles,,D&T,6,,,,,,,,Y,,Y,,Y,Y,Y,Y,,Y,Y,Y
"In order to make effective design choices in relation to which materials, components and systems to utilise, students will need a breadth of technical knowledge and understanding that includes: how energy is generated and stored in order to choose and use appropriate sources to make products and to power systems",Design and technology,Key stage 4,,Technical principles,,D&T,6,,,,,,,,Y,,,,,,Y,,,,,Y
"In order to make effective design choices in relation to which materials, components and systems to utilise, students will need a breadth of technical knowledge and understanding that includes: developments in modern and smart materials, composite materials and technical textiles",Design and technology,Key stage 4,,Technical principles,,D&T,6,,,,,,,,Y,,,,,,,,,,,
"In order to make effective design choices in relation to which materials, components and systems to utilise, students will need a breadth of technical knowledge and understanding that includes: how electronic systems provide functionality to products and processes, including sensors and control devices to respond to a variety of inputs, and devices to produce a range of outputs",Design and technology,Key stage 4,,Technical principles,,D&T,6,,,,,,,,Y,,Y,,,,,Y,,,,
"In order to make effective design choices in relation to which materials, components and systems to utilise, students will need a breadth of technical knowledge and understanding that includes: the use of programmable components to embed functionality into products in order to enhance and customise their operation",Design and technology,Key stage 4,,Technical principles,,D&T,6,,,,,,,,Y,,Y,,,,,Y,,,,
"In order to make effective design choices in relation to which materials, components and systems to utilise, students will need a breadth of technical knowledge and understanding that includes: the functions of mechanical devices, to produce different sorts of movement, changing the magnitude and direction of forces",Design and technology,Key stage 4,,Technical principles,,D&T,6,,,,,,,,Y,,,,,,,,,,,
"In order to make effective design choices in relation to which materials, components and systems to utilise, students will need a breadth of technical knowledge and understanding that includes: the categorisation of the types and properties of the following materials: papers and boards",Design and technology,Key stage 4,,Technical principles,Materials,D&T,6,,,,,,,,Y,,,,,,,,,,,
"In order to make effective design choices in relation to which materials, components and systems to utilise, students will need a breadth of technical knowledge and understanding that includes: the categorisation of the types and properties of the following materials: natural and manufactured timber",Design and technology,Key stage 4,,Technical principles,Materials,D&T,6,,,,,,,,Y,,,,,,,,,,,
"In order to make effective design choices in relation to which materials, components and systems to utilise, students will need a breadth of technical knowledge and understanding that includes: the categorisation of the types and properties of the following materials: ferrous and non-ferrous metals",Design and technology,Key stage 4,,Technical principles,Materials,D&T,6,,,,,,,,Y,,,,,,,,,,,
"In order to make effective design choices in relation to which materials, components and systems to utilise, students will need a breadth of technical knowledge and understanding that includes: the categorisation of the types and properties of the following materials: thermoforming and thermosetting polymers",Design and technology,Key stage 4,,Technical principles,Materials,D&T,6,,,,,,,,Y,,,,,,,,,,,
"In order to make effective design choices in relation to which materials, components and systems to utilise, students will need a breadth of technical knowledge and understanding that includes: the categorisation of the types and properties of the following materials: natural, synthetic, blended and mixed fibres, and woven, non-woven and knitted textiles",Design and technology,Key stage 4,,Technical principles,Materials,D&T,6,,,,,,,,Y,,,,,,,,,,,
"In addition, when designing and making³ (in relation to at least one of the material categories outlined in bullet 8 or the components and systems outlined in bullets 5-7, above) students should develop an in-depth knowledge and understanding of: the sources, origins, physical and working properties of the material categories or the components and systems, and their ecological and social footprint",Design and technology,Key stage 4,,Technical principles,In-depth knowledge,D&T,6,,,,,,,,Y,,,,,,Y,,,,,Y
"In addition, when designing and making³ (in relation to at least one of the material categories outlined in bullet 8 or the components and systems outlined in bullets 5-7, above) students should develop an in-depth knowledge and understanding of: the way in which the selection of materials or components is influenced by a range of factors, such as functional, aesthetic, environmental, availability, cost, social, cultural and ethical",Design and technology,Key stage 4,,Technical principles,In-depth knowledge,D&T,6,,,,,,,,Y,,,Y,,,Y,,Y,,,Y
"In addition, when designing and making³ (in relation to at least one of the material categories outlined in bullet 8 or the components and systems outlined in bullets 5-7, above) students should develop an in-depth knowledge and understanding of: the impact of forces and stresses on materials and objects and the ways in which materials can be reinforced and stiffened",Design and technology,Key stage 4,,Technical principles,In-depth knowledge,D&T,6,,,,,,,,Y,,,,,,,,,,,
"In addition, when designing and making³ (in relation to at least one of the material categories outlined in bullet 8 or the components and systems outlined in bullets 5-7, above) students should develop an in-depth knowledge and understanding of: stock forms, types and sizes in order to calculate and determine the quantity of materials or components required",Design and technology,Key stage 4,,Technical principles,In-depth knowledge,D&T,6,,,,,,,,Y,,,,,,,,,,,
"In addition, when designing and making³ (in relation to at least one of the material categories outlined in bullet 8 or the components and systems outlined in bullets 5-7, above) students should develop an in-depth knowledge and understanding of: alternative processes that can be used to manufacture products to different scales of production",Design and technology,Key stage 4,,Technical principles,In-depth knowledge,D&T,6,,,,,,,,Y,,,,,,,,,,,
"In addition, when designing and making³ (in relation to at least one of the material categories outlined in bullet 8 or the components and systems outlined in bullets 5-7, above) students should develop an in-depth knowledge and understanding of: specialist techniques and processes that can be used to shape, fabricate, construct and assemble a high quality prototype, including techniques such as wastage, addition, deforming and reforming, as appropriate to the materials and/or components being used",Design and technology,Key stage 4,,Technical principles,In-depth knowledge,D&T,6,,,,,,,,Y,,,,,,,,,,,
Including prototypes that are products or systems.,Design and technology,Key stage 4,,Technical principles,Footnote,D&T,6,,,,,,,,,Y,,,,,,,,,,
"In addition, when designing and making³ (in relation to at least one of the material categories outlined in bullet 8 or the components and systems outlined in bullets 5-7, above) students should develop an in-depth knowledge and understanding of: appropriate surface treatments and finishes that can be applied for functional and aesthetic purposes",Design and technology,Key stage 4,,Technical principles,In-depth knowledge,D&T,7,,,,,,,,Y,,,,,,,,,,,
GCSE specifications in design and technology must require students to: understand that all design and technological practice takes place within contexts which inform outcomes,Design and technology,Key stage 4,,Designing and making principles,,D&T,7,,,,,,,,Y,,,,,,,,,,,
GCSE specifications in design and technology must require students to: identify and understand client and user needs through the collection of primary and secondary data,Design and technology,Key stage 4,,Designing and making principles,,D&T,7,,,,,,,,Y,,,,,,,,,,,
"GCSE specifications in design and technology must require students to: demonstrate an ability to write a design brief and specifications from their own and others' considerations of human needs, wants and interests",Design and technology,Key stage 4,,Designing and making principles,,D&T,7,,,,,,,,Y,,,,,Y,,,,,Y,
"GCSE specifications in design and technology must require students to: investigate factors, such as environmental, social and economic challenges, in order to identify opportunities and constraints that influence the processes of designing and making",Design and technology,Key stage 4,,Designing and making principles,,D&T,7,,,,,,,,Y,,,Y,,,Y,,Y,,,Y
"GCSE specifications in design and technology must require students to: explore and develop their ideas, testing, critically analysing and evaluating their work in order to inform and refine their design decisions thus achieving improved outcomes.",Design and technology,Key stage 4,,Designing and making principles,,D&T,7,,,,,,,,Y,,,,Y,Y,,,,Y,Y,
GCSE specifications in design and technology must require students to: investigate and analyse the work of past and present professionals and companies in the area of design and technology in order to help inform their own ideas,Design and technology,Key stage 4,,Designing and making principles,,D&T,7,,,,,,,,Y,,,,,,,,,,,
"GCSE specifications in design and technology must require students to: use different design strategies, such as collaboration, user-centred design and systems thinking, to generate initial ideas and avoid design fixation",Design and technology,Key stage 4,,Designing and making principles,,D&T,7,,,,,,,,Y,,,,,Y,,,,,Y,
"GCSE specifications in design and technology must require students to: develop, communicate, record and justify design ideas, applying suitable techniques, for example: formal and informal 2D and 3D drawing; system and schematic diagrams; annotated sketches; exploded diagrams; models; presentations; written notes; working drawings; schedules; audio and visual recordings; mathematical modelling; computer-based tools",Design and technology,Key stage 4,,Designing and making principles,,D&T,7,,,,,,,,Y,,Y,,Y,Y,,Y,,Y,Y,
"GCSE specifications in design and technology must require students to: design and develop at least one prototype that responds to needs and/or wants and is fit for purpose, demonstrating functionality, aesthetics, marketability and consideration of innovation⁴",Design and technology,Key stage 4,,Designing and making principles,,D&T,7,,,,,,,,Y,,,Y,,,,,Y,,,
"GCSE specifications in design and technology must require students to: make informed and reasoned decisions, respond to feedback about their own prototypes (and existing products and systems) to identify the potential for further development and suggest how modifications could be made",Design and technology,Key stage 4,,Designing and making principles,,D&T,7,,,,,,,,Y,,,,,Y,,,,,Y,
"In relation to at least one of the material categories listed in paragraph 9 (above), students are required to develop and apply in-depth knowledge by: selecting and working with appropriate materials and components in order to produce a prototype",Design and technology,Key stage 4,,Designing and making principles,In-depth knowledge application,D&T,7,,,,,,,,Y,,,,,,,,,,,
Innovation in this context refers to students considering new methods or ideas to improve and refine their design solutions and meet the needs of their intended market and/or primary user.,Design and technology,Key stage 4,,Designing and making principles,Footnote,D&T,7,,,,,,,,,Y,,,,,,,,,,
"In relation to at least one of the material categories listed in paragraph 9 (above), students are required to develop and apply in-depth knowledge by: using appropriate and accurate marking out methods including: measuring and use of reference points, lines and surfaces; use templates, jigs and/or patterns; work within tolerances; understand efficient cutting and how to minimise waste",Design and technology,Key stage 4,,Designing and making principles,In-depth knowledge application,D&T,8,,,,,,,,Y,,,,,,Y,,,,,Y
"In relation to at least one of the material categories listed in paragraph 9 (above), students are required to develop and apply in-depth knowledge by: using specialist tools and equipment, appropriate to the materials or components used (including hand tools, machinery, digital design and manufacture), to create a specific outcome",Design and technology,Key stage 4,,Designing and making principles,In-depth knowledge application,D&T,8,,,,,,,,Y,,Y,,,,,Y,,,,
"In relation to at least one of the material categories listed in paragraph 9 (above), students are required to develop and apply in-depth knowledge by: using specialist techniques and processes to shape, fabricate, construct and assemble a high quality prototype, including techniques such as wastage, addition, deforming and reforming, as appropriate to the materials and/or components being used",Design and technology,Key stage 4,,Designing and making principles,In-depth knowledge application,D&T,8,,,,,,,,Y,,,,,,,,,,,
"In relation to at least one of the material categories listed in paragraph 9 (above), students are required to develop and apply in-depth knowledge by: using appropriate surface treatments and finishes for functional and aesthetic purposes",Design and technology,Key stage 4,,Designing and making principles,In-depth knowledge application,D&T,8,,,,,,,,Y,,,,,,,,,,,
"Through their work in design and technology students must apply relevant knowledge, skills and understanding from key stage 3 and 4 courses in the sciences and mathematics.",Design and technology,Key stage 4,,Appendix 1,Links to mathematics and science,D&T,9,,,,Y,,,,,,,,,,,,,,,
They should use the metric and International System of Units (SI) system but also be aware that some materials and components retain the use of imperial units.,Design and technology,Key stage 4,,Appendix 1,Links to mathematics and science,D&T,9,,,,Y,,,,,,,,,,,,,,,
Through the assessment of their knowledge and understanding of technical principles students must demonstrate an understanding of the mathematical and scientific requirements shown in tables 1 and 2. The examples in the tables below are illustrative of how the mathematical skills and scientific knowledge and skills identified could be applied in design and technology.,Design and technology,Key stage 4,,Appendix 1,Links to mathematics and science,D&T,9,,,,Y,,,,,,,,,,,,,,,
"Students must be able to apply the following mathematical skills: Recognise and use expressions in decimal and standard form. Examples of D&T applications: Calculation of quantities of materials, costs and sizes",Design and technology,Key stage 4,,Appendix 1,Links to mathematics - Arithmetic and numerical computation,D&T,9,,Y,,Y,,,,Y,,,Y,,,,,Y,,,
"Students must be able to apply the following mathematical skills: Use ratios, fractions and percentages. Examples of D&T applications: Scaling drawings, analysing responses to user questionnaires",Design and technology,Key stage 4,,Appendix 1,Links to mathematics - Arithmetic and numerical computation,D&T,9,,Y,,Y,,,,Y,,,,,,,,,,,
Students must be able to apply the following mathematical skills: Calculate surface area and volume. Examples of D&T applications: Determining quantities of materials,Design and technology,Key stage 4,,Appendix 1,Links to mathematics - Arithmetic and numerical computation,D&T,9,,Y,,Y,,,,Y,,,,,,,,,,,
"Students must be able to apply the following mathematical skills: Presentation of data, diagrams, bar charts and histograms. Examples of D&T applications: Construct and interpret frequency tables; present information on design decisions",Design and technology,Key stage 4,,Appendix 1,Links to mathematics - Handling data,D&T,9,,Y,,Y,,,,Y,,,,Y,Y,,,,Y,Y,
"Students must be able to apply the following mathematical skills: Plot, draw and interpret appropriate graphs. Examples of D&T applications: Analysis and presentation of performance data and client survey responses",Design and technology,Key stage 4,,Appendix 1,Links to mathematics - Graphs,D&T,9,,Y,,Y,,,,Y,,,,Y,Y,,,,Y,Y,
Students must be able to apply the following mathematical skills: Translate information between graphical and numeric form. Examples of D&T applications: Extracting information from technical specifications,Design and technology,Key stage 4,,Appendix 1,Links to mathematics - Graphs,D&T,9,,Y,,Y,,,,Y,,,,,,,,,,,
"Students must be able to apply the following mathematical skills: Use angular measures in degrees. Examples of D&T applications: Measurement and marking out, creating tessellated patterns",Design and technology,Key stage 4,,Appendix 1,Links to mathematics - Geometry and trigonometry,D&T,9,,Y,,Y,,,,Y,,,,,,,,,,,
Students must be able to apply the following mathematical skills: Visualise and represent 2D and 3D forms including two dimensional representations of 3D objects. Examples of D&T applications: Graphic presentation of design ideas and communicating intentions to others,Design and technology,Key stage 4,,Appendix 1,Links to mathematics - Geometry and trigonometry,D&T,9,,Y,,Y,,,,Y,,Y,,Y,Y,,Y,,Y,Y,
"Students must be able to apply the following mathematical skills: Calculate areas of triangles and rectangles, surface areas and volumes of cubes. Examples of D&T applications: Determining the quantity of materials required",Design and technology,Key stage 4,,Appendix 1,Links to mathematics - Geometry and trigonometry,D&T,10,,Y,,Y,,,,Y,,,,,,,,,,,
"Students must know and apply the following scientific knowledge and skills: Use scientific vocabulary, terminology and definitions: quantities, units and symbols. Examples of D&T application: Appropriate use of scientific terms when developing a design brief and specifications",Design and technology,Key stage 4,,Appendix 1,"Links to science - Use scientific vocabulary, terminology and definitions",D&T,10,,Y,,Y,,,,Y,,,,,Y,,,,,Y,
"Students must know and apply the following scientific knowledge and skills: Use scientific vocabulary, terminology and definitions: Sl units (e.g. kg, g, mg; km, m, mm; kJ, J), prefixes and powers of ten for orders of magnitude (e.g. tera, giga, mega, kilo, centi, milli, micro and nano). Examples of D&T application: Calculation of quantities, measurement of materials and selection of components",Design and technology,Key stage 4,,Appendix 1,"Links to science - Use scientific vocabulary, terminology and definitions",D&T,10,,Y,,Y,,,,Y,,,,,,,,,,,
"Students must know and apply the following scientific knowledge and skills: Use scientific vocabulary, terminology and definitions: metals and non-metals and the differences between them, on the basis of their characteristic physical and chemical properties. Examples of D&T application: Classification of the types and properties of a range of materials",Design and technology,Key stage 4,,Appendix 1,"Links to science - Use scientific vocabulary, terminology and definitions",D&T,10,,Y,,Y,,,,Y,,,,,,,,,,,
"Students must know and apply the following scientific knowledge and skills: Life cycle assessment and recycling: the basic principles in carrying out a life-cycle assessment of a material or product. Examples of D&T application: Selection of materials and components based on ethical factors, taking into consideration the ecological and social footprint of materials",Design and technology,Key stage 4,,Appendix 1,Links to science - Life cycle assessment and recycling,D&T,10,,Y,,Y,,,,Y,,,,,,Y,,,,,Y
Students must know and apply the following scientific knowledge and skills: Using materials: the conditions which cause corrosion and the process of corrosion and oxidisation. Examples of D&T application: Understanding of properties of materials and how they need to be protected from corrosion through surface treatments and finishes. Appreciate how oxidisation can be used when dyeing materials.,Design and technology,Key stage 4,,Appendix 1,Links to science - Using materials,D&T,10,,Y,,Y,,,,Y,,,,,,,,,,,
Students must know and apply the following scientific knowledge and skills: Using materials: the composition of some important alloys in relation to their properties and uses. Examples of D&T application: Selecting appropriate materials,Design and technology,Key stage 4,,Appendix 1,Links to science - Using materials,D&T,10,,Y,,Y,,,,Y,,,,,,,,,,,
"Students must know and apply the following scientific knowledge and skills: Using materials: the physical properties of [materials], how the properties of materials are selected related to their uses. Examples of D&T application: Knowledge of properties of materials to be applied when designing and making",Design and technology,Key stage 4,,Appendix 1,Links to science - Using materials,D&T,10,,Y,,Y,,,,Y,,,,,,,,,,,
"Students must know and apply the following scientific knowledge and skills: Using materials: the main energy sources available for use on Earth (including fossil fuels, nuclear fuel, bio-fuel, wind, hydro-electricity, the tides and the Sun), the ways in which they are used and the distinction between renewable and non-renewable sources. Examples of D&T application: Understanding of how to choose appropriate energy sources",Design and technology,Key stage 4,,Appendix 1,Links to science - Using materials,D&T,10,,Y,,Y,,,,Y,,,,,,Y,,,,,Y
"Students must know and apply the following scientific knowledge and skills: Using materials: the action of forces and how levers and gears transmit and transform the effects of forces. Examples of D&T application: Knowledge of the function of mechanical devices to produce different sorts of movement, changing the magnitude and direction of forces",Design and technology,Key stage 4,,Appendix 1,Links to science - Using materials,D&T,11,,Y,,Y,,,,Y,,,,,,,,,,,
"A defining feature of design and technological activity is that it is context dependent, as are the outcomes of such activities. The role of the contextual challenges is to provide an external stimulus for students, from which they will explore and clarify design problems and opportunities, leading to the development of their own design briefs, which will inform and direct their designing and making. Students will be assessed on their ability to analyse and respond to contexts, rather than their knowledge of specific contextual areas.",Design and technology,Key stage 4,,Appendix 2,Contextual challenges,D&T,12,,,,Y,,,,,,,,,,,,,,,
Contextual challenges that have been suggested and could meet the criteria above include areas such as: extending human capacity,Design and technology,Key stage 4,,Appendix 2,Contextual challenges,D&T,12,,Y,,Y,,,,,,,,,,,,,,,
Contextual challenges that have been suggested and could meet the criteria above include areas such as: responding to the unexpected,Design and technology,Key stage 4,,Appendix 2,Contextual challenges,D&T,12,,Y,,Y,,,,,,,,,,,,,,,
Contextual challenges that have been suggested and could meet the criteria above include areas such as: improving living and working spaces (environments and objects),Design and technology,Key stage 4,,Appendix 2,Contextual challenges,D&T,12,,Y,,Y,,,,,,,,,,,,,,,
Contextual challenges that have been suggested and could meet the criteria above include areas such as: securing a sustainable future,Design and technology,Key stage 4,,Appendix 2,Contextual challenges,D&T,12,,Y,,Y,,,,,,,,,,Y,,,,,Y
Contextual challenges that have been suggested and could meet the criteria above include areas such as: protecting people and products,Design and technology,Key stage 4,,Appendix 2,Contextual challenges,D&T,12,,Y,,Y,,,,,,,,,,,,,,,
Contextual challenges that have been suggested and could meet the criteria above include areas such as: promoting health and wellbeing,Design and technology,Key stage 4,,Appendix 2,Contextual challenges,D&T,12,,Y,,Y,,,,,,,,,,,,,,,
"Contextual challenges that have been suggested and could meet the criteria above include areas such as: developing and communicating personal, social, and corporate identity",Design and technology,Key stage 4,,Appendix 2,Contextual challenges,D&T,12,,Y,,Y,,,,,,,,Y,Y,,,,Y,Y,
Contextual challenges that have been suggested and could meet the criteria above include areas such as: developing communities,Design and technology,Key stage 4,,Appendix 2,Contextual challenges,D&T,12,,Y,,Y,,,,,,,,,,,,,,,
The above list is not intended to be definitive.,Design and technology,Key stage 4,,Appendix 2,Contextual challenges,D&T,12,,,,Y,,,,,,,,,,,,,,,
"The GCSE subject content sets out the knowledge, understanding, skills and assessment objectives common to all GCSE specifications in a given subject. Together with the assessment objectives it provides the framework within which awarding organisations create the detail of their specifications, so ensuring progression from key stage 3 national curriculum requirements and the possibilities for progression to A level.",History,Key stage 4,,,,History,3,Y,,,,,,,,,,,,,,,,,,
"GCSE specifications in history should support students in learning more about the history of Britain and that of the wider world. The study of history at GCSE should inspire students to deepen their understanding of the people, periods and events studied and enable them to think critically, weigh evidence, sift arguments, make informed decisions and develop perspective and judgement. This, in turn, will prepare them for a role as informed, thoughtful and active citizens. The discipline of history and a knowledge and understanding of the past will also help them to understand their own identity and significant aspects of the world in which they live, and provide them with the basis for further wider learning and study.",History,Key stage 4,,,,History,3,Y,,,,,Y,,,,,,,,,,,,,
"GCSE specifications in history should enable students to: develop and extend their knowledge and understanding of specified key events, periods and societies in local, British, and wider world history; and of the wide diversity of human experience",History,Key stage 4,,,,History,3,Y,,,,,Y,,,,,,,,,,,,,
GCSE specifications in history should enable students to: engage in historical enquiry to develop as independent learners and as critical and reflective thinkers,History,Key stage 4,,,,History,3,Y,,,,,Y,,,,,,,,,,,,,
"GCSE specifications in history should enable students to: develop the ability to ask relevant questions about the past, to investigate issues critically and to make valid historical claims by using a range of sources in their historical context",History,Key stage 4,,,,History,3,Y,,,,,Y,,,,,,Y,,,,,Y,,
"GCSE specifications in history should enable students to: develop an awareness of why people, events and developments have been accorded historical significance and how and why different interpretations have been constructed about them",History,Key stage 4,,,,History,3,Y,,,,,Y,,,,,,Y,,,,,Y,,
GCSE specifications in history should enable students to: organise and communicate their historical knowledge and understanding in different ways and reach substantiated conclusions,History,Key stage 4,,,,History,3,Y,,,,,Y,,,,,,,Y,,,,,Y,
GCSE specifications in history must reflect the aims and learning outcomes. GCSE specifications in history should build on the national curriculum programmes of study for history at key stage 3.,History,Key stage 4,,,,History,4,,,,,,,,Y,,,,,,,,,,,
"This content sets out the full range of content for GCSE specifications in history. Awarding organisations may, however, use any flexibility to increase depth, breadth or context within the specified topics or to consolidate teaching of the subject content.",History,Key stage 4,,,,History,4,,,,,,,,,Y,,,,,,,,,,
"GCSE specifications should include history: from three eras: Medieval (500-1500), Early Modern (1450-1750) and Modern (1700-present day)",History,Key stage 4,,,,History,4,,,,,,,,Y,,,,,,,,,,,
"GCSE specifications should include history: on three time scales: short (depth study), medium (period study) and long (thematic study)",History,Key stage 4,,,,History,4,,,,,,,,Y,,,,,,,,,,,
GCSE specifications should include history: on three geographical contexts: a locality (the historic environment); British; and European and / or wider world settings,History,Key stage 4,,,,History,4,,,,,,,,Y,,,,,,,,,,,
British historyÂ¹ must form a minimum of 40% of the assessed content over the full course.,History,Key stage 4,,,,History,4,,,,,,,,Y,,,,,,,,,,,
"Reference to British history here and elsewhere in the document means British history and/ or the history of England, Scotland, Wales and Ireland as appropriate to the historical context and focus of the study.",History,Key stage 4,,,,History,4,,,,,,,,,Y,,,,,,,,,,
"Depth studies should focus on a substantial and coherent short time span and require students to understand the complexity of a society or historical situation and the interplay of different aspects within it. Depending on the particular society or historical situation selected for study, these aspects may include (but are not restricted to) social, economic, political, religious, technological and military factors. For European or wider world depth studies the complexity may stem from the number and diverse interests of the different nation states involved.",History,Key stage 4,,,Depth studies,History,4,,,,,,,,Y,,,,,,,,,,,
Period studies should focus on a substantial and coherent medium time span of at least 50 years and require students to understand the unfolding narrative of substantial developments and issues associated with the period.,History,Key stage 4,,,Period studies,History,4,,,,,,,,Y,,,,,,,,,,,
"Thematic studies should require students to understand change and continuity across a long sweep of history, including the most significant characteristics of different ages. They should reveal wider changes in aspects of society over the centuries and allow comparisons to be made between different periods of history. These aspects should include (but are not restricted to) some or all of the following: culture, economics, politics, religion, science, technology and war.",History,Key stage 4,,,Thematic studies,History,4,,,,,,,,Y,,,,,,,,,,,
"The study of the historic environment should focus on one particular site in its historical context. The study should examine the relationship between a place and historical events and developments. The focus of study may range in scale from, for example, a particular building or part of a building to a city or rural landscape/ setting. There is no requirement that students visit the site. This study may be linked to any other part of the course or may stand alone.",History,Key stage 4,,,Historic environment study,History,5,,,,,,,,Y,,,,,,,,,,,
The course and each element within it must form a coherent and substantial study of history in which the elements are reasonably balanced across the full range of assessed content.,History,Key stage 4,,,,History,5,,,,,,,,Y,,,,,,,,,,,
GCSE specifications in history should require students to study: at least one British depth study chosen from the historical eras defined above,History,Key stage 4,,,Required studies,History,5,,,,,,,,Y,,,,,,,,,,,
GCSE specifications in history should require students to study: at least one European or wider world depth study chosen from the historical eras defined above. This should focus on the history of a nation or group of peoples or on international relations between several nations. It must not merely study British overseas involvements,History,Key stage 4,,,Required studies,History,5,,,,,,,,Y,,,,,,,,,,,
British and wider world depth studies may not be taken from the same era of history or from the same overlapping fifty-year period.,History,Key stage 4,,,Required studies,History,5,,,,,,,,Y,,,,,,,,,,,
"a period study into British, European or wider world history from any one of the historical eras defined above. One depth study may be from the same era as the period study",History,Key stage 4,,,Required studies,History,5,,,,,,,,Y,,,,,,,,,,,
the historic environment through the study of a particular site in its historical context,History,Key stage 4,,,Required studies,History,5,,,,,,,,Y,,,,,,,,,,,
